Date,Title,Url
"Aug 29, 2018",Japanese government joins with private companies to develop flying cars,https://www.japantimes.co.jp/news/2018/08/29/business/tech/japanese-government-joins-private-companies-develop-flying-cars/
"Aug 29, 2018","Sucking carbon from air, Swiss firm wins new funds for costly climate fix",https://www.japantimes.co.jp/news/2018/08/29/business/tech/sucking-carbon-air-swiss-firm-wins-new-funds-costly-climate-fix/
"Aug 28, 2018","Apple to expand iPhone X design with new colors, big screens",https://www.japantimes.co.jp/news/2018/08/28/business/tech/apple-expand-iphone-x-design-new-colors-big-screens/
"Aug 28, 2018",Startup AutoX delivers groceries in self-driving cars in Silicon Valley,https://www.japantimes.co.jp/news/2018/08/28/business/tech/startup-autox-delivers-groceries-self-driving-cars-silicon-valley/
"Aug 27, 2018",Autonomous taxi trials carrying passengers begin in Tokyo,https://www.japantimes.co.jp/news/2018/08/27/business/tech/autonomous-taxi-trials-carrying-passengers-begin-tokyo/
"Aug 26, 2018",'Super Mario' creator says gaming industry should put steady subscriptions ahead of in-game charges,https://www.japantimes.co.jp/news/2018/08/26/business/tech/super-mario-creator-says-gaming-industry-put-steady-subscriptions-ahead-game-charges/
"Aug 24, 2018",Sony to launch revamped Aibo robot dog in U.S.,https://www.japantimes.co.jp/news/2018/08/24/business/tech/sony-launch-revamped-aibo-robot-dog-u-s/
"Aug 24, 2018",Europe's new GDPR data law upends global online advertising,https://www.japantimes.co.jp/news/2018/08/24/business/tech/europes-new-gdpr-data-law-upends-global-online-advertising/
"Aug 21, 2018","Paul Allen's space firm Stratolaunch details plans for rockets, cargo vehicle",https://www.japantimes.co.jp/news/2018/08/21/business/tech/paul-allens-space-firm-stratolaunch-details-plans-rockets-cargo-vehicle/
"Aug 20, 2018","U.S. seeks to wiretap Messenger, trying to force Facebook to help: sources",https://www.japantimes.co.jp/news/2018/08/20/business/tech/u-s-seeks-wiretap-messenger-trying-force-facebook-help-sources/
"Aug 18, 2018","U.S. government seeks Facebook help to wiretap Messenger, sources say",https://www.japantimes.co.jp/news/2018/08/18/business/tech/u-s-government-seeks-facebook-help-wiretap-messenger-sources-say/
"Aug 17, 2018",Google clarifies deceptive location-tracking policy after probe reveals apps record whereabouts even when 'Location History' off,https://www.japantimes.co.jp/news/2018/08/17/business/tech/probe-google-clarifies-erroneous-location-tracking-policy/
"Aug 17, 2018",'Hacky hack hack': Australian teen breaches Apple's secure network,https://www.japantimes.co.jp/news/2018/08/17/business/tech/hacky-hack-hack-australian-teen-breaches-apples-secure-network/
"Aug 15, 2018",Cubans cheer as free internet goes nationwide for a daylong test,https://www.japantimes.co.jp/news/2018/08/15/business/tech/cubans-cheer-free-internet-goes-nationwide-daylong-test/
"Aug 11, 2018","Tokyo tops list of most innovate cities thanks to 3D technology, robotics",https://www.japantimes.co.jp/news/2018/08/11/business/tech/high-tech-tokyo-tops-list-worlds-innovative-cities/
"Aug 10, 2018","Samsung's new $1,000 power-user phone reflects slowdown in hardware innovation",https://www.japantimes.co.jp/news/2018/08/10/business/tech/samsungs-new-1000-power-user-phone-reflects-slowdown-hardware-innovation/
"Aug 9, 2018",New kind of artificial intelligence program takes computer hacking to another level,https://www.japantimes.co.jp/news/2018/08/09/business/tech/new-kind-artificial-intelligence-program-takes-computer-hacking-another-level/
"Aug 8, 2018",A quantum computing startup tries to live up to the hype,https://www.japantimes.co.jp/news/2018/08/08/business/tech/quantum-computing-startup-tries-live-hype/
"Aug 5, 2018",Ding! Alibaba office app fuels backlash among some Chinese workers,https://www.japantimes.co.jp/news/2018/08/05/business/tech/ding-alibaba-office-app-fuels-backlash-among-chinese-workers/
"Aug 5, 2018",Are tech titans teetering atop the market?,https://www.japantimes.co.jp/news/2018/08/05/business/tech/tech-titans-teetering-atop-market/
"Aug 2, 2018",Congress passes bill forcing tech firms to disclose foreign access to software sold to U.S. military,https://www.japantimes.co.jp/news/2018/08/02/business/tech/congress-passes-bill-forcing-tech-firms-disclose-foreign-access-software-sold-u-s-military/
"Aug 2, 2018","Bowing to censorship, Google plans to launch search app in lucrative Chinese market, ending long boycott: sources",https://www.japantimes.co.jp/news/2018/08/02/business/tech/bowing-censorship-google-plans-launch-search-app-lucrative-chinese-market-ending-long-boycott-sources/
"Aug 1, 2018",Japan Display plans foray into consumer markets with smart motorcycle helmets and mirrors,https://www.japantimes.co.jp/news/2018/08/01/business/tech/japan-display-plans-foray-consumer-markets-smart-motorcycle-helmets-mirrors/
"Jul 31, 2018",19-year-old CEO creates app to bring Japan's voters and politicians together,https://www.japantimes.co.jp/news/2018/07/31/business/tech/19-year-old-ceo-creates-app-bring-japans-voters-politicians-together/
"Jul 31, 2018",Nokia to help with T-Mobile superfast 5G telecom network in $3.5 billion deal,https://www.japantimes.co.jp/news/2018/07/31/business/tech/nokia-help-t-mobile-superfast-5g-telecom-network-3-5-billion-deal/
"Jul 29, 2018",Art museums fight Facebook over nudity,https://www.japantimes.co.jp/news/2018/07/29/business/tech/rubens-vs-facebook-fight-artistic-nudity/
"Jul 29, 2018",Apple and Amazon lead the race toward $1 trillion market value,https://www.japantimes.co.jp/news/2018/07/29/business/tech/apple-amazon-lead-pack-1-trillion-market-value/
"Jul 28, 2018","YouTube plans original programming in Japan, India and other markets",https://www.japantimes.co.jp/news/2018/07/28/business/tech/youtube-plans-original-programming-japan-india-markets/
"Jul 19, 2018",Sony starts taking advance orders for new version of Aibo robot dog,https://www.japantimes.co.jp/news/2018/07/19/business/tech/sony-starts-taking-preorders-new-version-aibo-robot-dog/
"Jul 19, 2018","In fining Google, EU is fighting the past",https://www.japantimes.co.jp/news/2018/07/19/business/tech/fining-google-eu-fighting-past/
"Jul 19, 2018",Google shrugs off EU fine; damage to hinge on rivals' next moves,https://www.japantimes.co.jp/news/2018/07/19/business/tech/google-shrugs-off-eu-fine-damage-hinge-rivals-next-moves/
"Jul 19, 2018",Plane makers working on tech to cut cockpit crews to one but facing pilot pushback,https://www.japantimes.co.jp/news/2018/07/19/business/tech/plane-makers-working-tech-cut-cockpit-crews-one-facing-pilot-pushback/
"Jul 18, 2018","ZMP, Hinomaru Kotsu to test driverless taxis on Tokyo roads in August with eye to 2020 launch",https://www.japantimes.co.jp/news/2018/07/18/business/tech/autonomous-taxi-tests-start-tokyo-view-launch-service-2020/
"Jul 17, 2018",Communist-run Cuba starts rolling out internet on mobile phones,https://www.japantimes.co.jp/news/2018/07/17/business/tech/communist-run-cuba-starts-rolling-internet-mobile-phones/
"Jul 15, 2018",Fake news and the role of algorithms in today's world,https://www.japantimes.co.jp/news/2018/07/15/business/tech/fake-news-role-algorithms-todays-world/
"Jul 11, 2018",Britain to fine Facebook over data breach,https://www.japantimes.co.jp/news/2018/07/11/business/tech/britain-fine-facebook-data-breach/
"Jul 6, 2018",Tokyo blockchain conference looks to uses of technology beyond headline-grabbing cryptocurrencies,https://www.japantimes.co.jp/news/2018/07/06/business/tech/tokyo-blockchain-conference-looks-uses-technology-beyond-headline-grabbing-cryptocurrencies/
"Jul 6, 2018",Elon Musk's team talking with Thai officials on using tech for cave rescue,https://www.japantimes.co.jp/news/2018/07/06/business/tech/elon-musks-team-talking-thai-officials-using-tech-cave-rescue/
"Jul 5, 2018",New Tokyo research center aims to boost Japan's 'Fourth Industrial Revolution',https://www.japantimes.co.jp/news/2018/07/05/business/tech/new-tokyo-research-center-aims-boost-japans-fourth-industrial-revolution/
"Jul 5, 2018",China's push to end reliance on U.S. technology at center of nations' trade fight,https://www.japantimes.co.jp/news/2018/07/05/business/tech/chinas-push-end-reliance-u-s-technology-center-nations-trade-fight/
